단축코드,표준코드,한글명,그룹코드,시가총액규모,지수업종대분류,지수업종중분류,지수업종소분류,제조업,저유동성,지배구조지수종목,KOSPI200섹터업종,KOSPI100,KOSPI50,KRX,ETP,ELW발행,KRX100,KRX자동차,KRX반도체,KRX바이오,KRX은행,SPAC,KRX에너지화학,KRX철강,단기과열,KRX미디어통신,KRX건설,Non1,KRX증권,KRX선박,KRX섹터_보험,KRX섹터_운송,SRI,기준가,매매수량단위,시간외수량단위,거래정지,정리매매,관리종목,시장경고,경고예고,불성실공시,우회상장,락구분,액면변경,증자구분,증거금비율,신용가능,신용기간,전일거래량,액면가,상장일자,상장주수,자본금,결산월,공모가,우선주,공매도과열,이상급등,KRX300,KOSPI,매출액,영업이익,경상이익,당기순이익,ROE,기준년월,시가총액,그룹사코드,회사신용한도초과,담보대출가능,대주가능
006880,KR7006880009,신송홀딩스,ST,3.0,0,16,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,11150,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,381714,500,20131121,11828,5914429000,12.0,,0,,N,N,Y,506,25,18,14,5.91,20220331.0,1318,,N,N,N
006890,KR7006890008,태경케미컬,ST,3.0,0,8,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,13150,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,69737,500,20030128,11600,5800000000,12.0,,0,,N,N,Y,143,25,50,44,12.54,20220331.0,1525,,N,N,N
006980,KR7006980007,우성,ST,3.0,0,5,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,24150,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,6789,5000,19881010,3090,15450000000,12.0,,0,,N,N,Y,1305,-10,-16,-16,-3.8,20220331.0,746,,N,N,N
007070,KR7007070006,GS리테일,ST,2.0,0,16,0,N,N,N,7,Y,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,24000,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,179201,1000,20111223,104717,104717922000,12.0,,0,,N,Y,Y,25985,273,237,52,0.94,20220331.0,25132,FN4,N,N,Y
007110,KR7007110000,일신석재,ST,3.0,0,16,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,1385,1,1,N,N,N,0,N,N,N,0,0,0,60,Y,90,849577,500,19860304,77456,38728305000,12.0,,0,,N,N,Y,747,8,1,-1,-0.12,20211231.0,1072,,N,N,N
007120,KR7007120009,미래아이앤지,ST,3.0,0,26,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,309,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,341940,100,19991126,129484,12948414800,12.0,,0,,N,N,Y,78,9,-191,-181,-22.52,20211231.0,400,,N,N,N
007160,KR7007160005,사조산업,ST,3.0,0,0,0,N,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,44600,1,1,N,N,N,0,N,N,N,0,0,0,40,Y,90,3889,5000,19890725,5000,25000000000,12.0,,0,,N,N,Y,1390,153,180,140,10.21,20220331.0,2230,,N,N,N
007210,KR7007210008,벽산,ST,3.0,0,10,0,Y,N,N,0,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,Y,,N,N,N,N,N,2630,1,1,N,N,N,0,N,N,N,0,0,0,60,N,90,428723,500,19720104,68560,34280000000,12.0,,0,,N,N,Y,1193,51,46,30,4.12,20220331.0,1803,,N,N,N
007280,KR7007280001,한국특강,ST,3.0,0,11,0,Y,N,N,0,N,N,N,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,2450,1,1,N,N,N,0,N,N,N,0,0,0,100,N,90,29334,500,19891113,60343,30171525500,12.0,,0,,N,N,Y,6915,400,332,368,30.23,20211231.0,1478,,N,N,N
007310,KR7007310006,오뚜기,ST,2.0,0,5,0,Y,N,N,7,N,N,Y,,N,N,N,N,N,N,N,N,N,0,N,N,,N,N,N,N,N,443000,1,1,N,N,N,0,N,N,N,0,0,0,30,Y,90,2826,5000,19940812,3671,18359905000,12.0,,0,,N,Y,Y,7424,590,744,555,14.46,20220331.0,16266,,N,N,Y
